repository_name,file_path,all_committers
microsoft/vscode,src/vs/workbench/api/browser/mainThreadChatOutputRenderer.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/api/common/extHostChatOutputRenderer.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatContentParts/chatChangesSummaryPart.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatContentParts/chatStickyTaskWidget.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatToolOutputPart.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatElicitationRequestPart.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatOutputItemRenderer.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatSessions.contribution.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatSessions.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/media/chatSessions.css,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/common/chatTasksService.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/common/chatUri.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/common/tools/manageTasksTool.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/editTelemetry/browser/editStats/media.css,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/editTelemetry/browser/settingIds.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpLanguageModelToolContribution.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpTypesUtils.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/mcp/test/common/testMcpService.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminal/test/browser/xterm/recordings/basic/macos_zsh_p10k_ls_one_time.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminal/test/browser/xterm/recordings/rich/macos_zsh_omz_echo_3_times.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminal/test/browser/xterm/recordings/rich/macos_zsh_omz_ls_one_time.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminal/test/browser/xterm/recordings/rich/windows11_pwsh7_echo_3_times.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminal/test/browser/xterm/recordings/rich/windows11_pwsh7_ls_one_time.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminal/test/browser/xterm/recordings/rich/windows11_pwsh7_type_foo.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminal/test/browser/xterm/recordings/rich/windows11_pwsh7_type_foo_left_twice.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminal/test/browser/xterm/shellIntegrationAddon.integrationTest.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/bufferOutputPolling.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/outputHelpers.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/task.chatAgentTools.contribution.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/task/createAndRunTaskTool.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/task/getTaskOutputTool.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/task/runTaskTool.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/task/taskHelpers.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminalContrib/chatAgentTools/test/browser/bufferOutputPolling.test.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/testing/common/testingChatAgentTool.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/testing/common/testingProgressMessages.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vscode-dts/vscode.proposed.chatOutputRenderer.d.ts,"Daniel Imms, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/common/chatUri.ts,Matt Bierner
microsoft/vscode,src/vs/platform/quickinput/browser/tree/quickInputDelegate.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/platform/quickinput/browser/tree/quickInputTree.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/platform/quickinput/browser/tree/quickInputTreeAccessibilityProvider.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/platform/quickinput/browser/tree/quickInputTreeController.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/platform/quickinput/browser/tree/quickInputTreeFilter.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/platform/quickinput/browser/tree/quickInputTreeRenderer.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/platform/quickinput/browser/tree/quickTree.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/browser/chatContentParts/chatChangesSummaryPart.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/chat/common/chatUri.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/editTelemetry/browser/editStats/media.css,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/editTelemetry/browser/settingIds.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpLanguageModelToolContribution.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/mcp/common/mcpTypesUtils.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/mcp/test/common/testMcpService.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminal/test/browser/xterm/recordings/basic/macos_zsh_p10k_ls_one_time.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminal/test/browser/xterm/recordings/rich/macos_zsh_omz_echo_3_times.ts,"狒狒神, GitHub"
microsoft/vscode,src/vs/workbench/contrib/terminal/test/browser/xterm/recordings/rich/macos_zsh_omz_ls_one_time.ts,"狒狒神, GitHub"
